time,value
2005-01-01,2
2005-02-01,3
2005-03-01,0
2005-04-01,4
2005-05-01,4
2005-06-01,33
2005-07-01,7
2005-08-01,1
2005-09-01,5
2005-10-01,21
2005-11-01,5
2005-12-01,3
2006-01-01,0
2006-02-01,33
2006-03-01,27
2006-04-01,20
2006-05-01,2
2006-06-01,14
2006-07-01,7
2006-08-01,27
2006-09-01,3
2006-10-01,6
2006-11-01,4
2006-12-01,2
2007-01-01,4
2007-02-01,26
2007-03-01,5
2007-04-01,3
2007-05-01,5
2007-06-01,1
2007-07-01,20
2007-08-01,2
2007-09-01,1
2007-10-01,25
2007-11-01,46
2007-12-01,17
2008-01-01,0
2008-02-01,1
2008-03-01,9
2008-04-01,14
2008-05-01,0
2008-06-01,5
2008-07-01,39
2008-08-01,20
2008-09-01,13
2008-10-01,2
2008-11-01,28
2008-12-01,1
2009-01-01,3
2009-02-01,12
2009-03-01,77
2009-04-01,1
2009-05-01,4
2009-06-01,6
2009-07-01,18
2009-08-01,8
2009-09-01,20
2009-10-01,7
2009-11-01,4
2009-12-01,8
2010-01-01,10
2010-02-01,13
2010-03-01,1
2010-04-01,58
2010-05-01,5
2010-06-01,4
2010-07-01,8
2010-08-01,10
2010-09-01,21
2010-10-01,11
2010-11-01,0
2010-12-01,5
2011-01-01,3
2011-02-01,10
2011-03-01,0
2011-04-01,6
2011-05-01,7
2011-06-01,4
2011-07-01,0
2011-08-01,9
2011-09-01,3
2011-10-01,14
2011-11-01,13
2011-12-01,0
2012-01-01,0
2012-02-01,11
2012-03-01,6
2012-04-01,0
2012-05-01,11
2012-06-01,47
2012-07-01,13
2012-08-01,5
2012-09-01,12
2012-10-01,19
2012-11-01,8
2012-12-01,6
2013-01-01,0
2013-02-01,0
2013-03-01,2
2013-04-01,0
2013-05-01,0
2013-06-01,5
2013-07-01,0
2013-08-01,10
2013-09-01,12
2013-10-01,22
2013-11-01,3
2013-12-01,0
2014-01-01,0
2014-02-01,2
2014-03-01,15
2014-04-01,10
2014-05-01,4
2014-06-01,2
2014-07-01,0
2014-08-01,1
2014-09-01,22
2014-10-01,13
2014-11-01,60
2014-12-01,3
2015-01-01,11
2015-02-01,16
2015-03-01,46
2015-04-01,21
2015-05-01,43
2015-06-01,32
2015-07-01,10
2015-08-01,11
2015-09-01,4
2015-10-01,5
2015-11-01,2
2015-12-01,2
2016-01-01,7
2016-02-01,4
2016-03-01,31
2016-04-01,3
2016-05-01,6
2016-06-01,10
2016-07-01,14
2016-08-01,2
2016-09-01,47
2016-10-01,34
2016-11-01,1
2016-12-01,0
2017-01-01,1
2017-02-01,0
2017-03-01,4
2017-04-01,7
2017-05-01,0
2017-06-01,1
2017-07-01,0
2017-08-01,0
2017-09-01,19
2017-10-01,4
2017-11-01,23
2017-12-01,4
2018-01-01,0
2018-02-01,13
2018-03-01,16
2018-04-01,6
2018-05-01,3
2018-06-01,1
2018-07-01,0
2018-08-01,7
2018-09-01,5
2018-10-01,10
2018-11-01,5
2018-12-01,0
2019-01-01,2
2019-02-01,0
2019-03-01,16
2019-04-01,13
2019-05-01,1
2019-06-01,2
2019-07-01,0
2019-08-01,0
2019-09-01,1
2019-10-01,15
2019-11-01,102
2019-12-01,10
2020-01-01,6
2020-02-01,3
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,30
2020-07-01,2
2020-08-01,4
2020-09-01,30
